Provider,Policy URL,Industry,Source,Date,Status,Score,GDPR Score,Graph Kind,Pipeline Status,Pipeline Errors
AbbVie,https://privacy.abbvie/privacy-policies/us-privacy-policy.html,Healthcare,pdf,2025-09-05,False,,,none,failed,"[{""message"": ""Graph generation failed: Document is not accessible or does not exist: https://privacy.abbvie/privacy-policies/us-privacy-policy.html"", ""timestamp"": ""2025-11-14T22:30:16.075192+00:00""}, {""message"": ""Graph generation error: Document is not accessible or does not exist: https://privacy.abbvie/privacy-policies/us-privacy-policy.html"", ""timestamp"": ""2025-11-14T22:30:16.075913+00:00""}]"
AbbVie,https://privacy.abbvie/privacy-policies/us-privacy-policy.html,Healthcare,webpage,2025-09-05,False,,,none,failed,"[{""message"": ""Graph generation failed: Document is not accessible or does not exist: https://privacy.abbvie/privacy-policies/us-privacy-policy.html"", ""timestamp"": ""2025-11-14T22:30:16.148724+00:00""}, {""message"": ""Graph generation error: Document is not accessible or does not exist: https://privacy.abbvie/privacy-policies/us-privacy-policy.html"", ""timestamp"": ""2025-11-14T22:30:16.148952+00:00""}]"
AbbVie,./output/data/AbbVie.pdf,Healthcare,pdf,2025-10-30,True,70.8,82.8,standard,succeeded,[]
Abbott Laboratories,https://www.abbott.com/privacy-policy.html,Healthcare,pdf,2025-09-05,True,70.8,74.4,standard,succeeded,[]
Abbott Laboratories,https://www.abbott.com/privacy-policy.html,Healthcare,webpage,2025-09-05,True,70.8,75.5,standard,succeeded,[]
Abbott Laboratories,./output/data/Abbott.pdf,Healthcare,pdf,2025-10-30,True,75.0,73.2,standard,succeeded,[]
Accenture,https://www.accenture.com/us-en/support/privacy-policy,Information Technology,pdf,2025-09-05,True,75.0,80.7,standard,succeeded,[]
Accenture,https://www.accenture.com/us-en/support/privacy-policy,Information Technology,webpage,2025-09-05,True,75.0,78.1,standard,succeeded,[]
Accenture,./output/data/Accenture.pdf,Information Technology,pdf,2025-10-30,False,,,none,failed,"[{""message"": ""Graph generation failed: html_crawler failure: Not like a privacy policy"", ""timestamp"": ""2025-11-14T22:59:38.343679+00:00""}, {""message"": ""Graph generation error: html_crawler failure: Not like a privacy policy"", ""timestamp"": ""2025-11-14T22:59:38.343777+00:00""}]"
Adobe Inc.,https://www.adobe.com/privacy/policy.html,Information Technology,pdf,2025-09-05,False,,,none,failed,"[{""message"": ""Graph generation failed: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.adobe.com/privacy/policy.html\nCall log:\nnavigating to \""https://www.adobe.com/privacy/policy.html\"", waiting until \""load\"""", ""timestamp"": ""2025-11-14T22:59:40.495321+00:00""}, {""message"": ""Graph generation error: Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.adobe.com/privacy/policy.html\nCall log:\nnavigating to \""https://www.adobe.com/privacy/policy.html\"", waiting until \""load\"""", ""timestamp"": ""2025-11-14T22:59:40.495490+00:00""}]"
